gas2
iOrder, element, phi, age, color, planet, galaxy
0, 3, 20, 7972219, 2, 3045, 2
1, 2, 14, 2753066, 6, 1256, 0
2, 2, 22, 8861088, 5, 3621, 2
3, 2, 9, 9955997, 6, 4807, 2
4, 2, 22, 6320291, 7, 2891, 1
5, 2, 16, 5946018, 8, 2164, 1
6, 0, 23, 6496661, 4, 104, 1
7, 1, 27, 9178055, 2, 1639, 2
8, 0, 22, 3792868, 8, 1090, 1
9, 0, 10, 8145240, 6, 1442, 0
10, 3, 26, 7308825, 8, 1601, 0
11, 2, 14, 330629, 5, 1680, 0
12, 1, 26, 8755846, 8, 1064, 2
13, 2, 9, 704723, 1, 359, 1
14, 0, 14, 189846, 0, 670, 2
15, 1, 11, 5636706, 6, 4889, 0
16, 2, 29, 444289, 8, 1850, 1
17, 3, 16, 362132, 7, 1768, 2
18, 0, 15, 1110468, 0, 2045, 0
19, 0, 3, 9147132, 0, 1097, 0
20, 2, 14, 2571884, 6, 516, 0
21, 1, 8, 3190743, 0, 1377, 0
22, 0, 23, 4679393, 7, 3464, 2
23, 3, 24, 5013080, 3, 3382, 0
24, 2, 6, 4851788, 3, 1499, 1
25, 2, 16, 1706821, 2, 3646, 0
26, 0, 11, 3868515, 7, 2350, 0
27, 2, 16, 6820919, 3, 2089, 1
28, 0, 22, 9522057, 3, 4553, 0
29, 0, 0, 9855058, 6, 193, 0
30, 3, 8, 4220740, 7, 543, 0
31, 1, 13, 8146648, 9, 3936, 0
32, 2, 15, 1150507, 9, 2538, 1
33, 1, 4, 2323159, 7, 1790, 1
34, 3, 4, 6757607, 2, 1519, 1
35, 3, 13, 9184331, 0, 4708, 0
36, 0, 29, 5112986, 8, 1532, 2
37, 3, 14, 4802712, 5, 1290, 2
38, 1, 4, 2641838, 5, 1051, 0
39, 0, 8, 2437733, 5, 3677, 1
40, 0, 22, 3195675, 2, 3705, 1
41, 3, 26, 416984, 3, 3975, 2
42, 1, 3, 2425315, 5, 2949, 2
43, 2, 14, 2036604, 2, 2865, 2
44, 3, 13, 3766191, 2, 3130, 0
45, 3, 1, 4577304, 6, 4000, 0
46, 3, 8, 3425877, 0, 1459, 0
47, 0, 23, 6248862, 2, 4834, 1
48, 2, 0, 8889881, 3, 1058, 0
49, 0, 15, 6008200, 2, 694, 0
50, 2, 17, 426738, 7, 1040, 2
51, 2, 11, 1207146, 3, 3641, 2
52, 3, 29, 1636872, 6, 372, 0
53, 1, 12, 5597473, 8, 1609, 2
54, 3, 19, 7480178, 2, 2609, 1
55, 0, 17, 5753015, 1, 33, 0
56, 3, 8, 3632041, 1, 3735, 0
57, 3, 1, 7080942, 1, 241, 0
58, 0, 26, 2122605, 1, 2910, 1
59, 3, 16, 2624306, 3, 3928, 0
60, 1, 19, 5644243, 5, 1551, 2
61, 0, 4, 4362532, 5, 372, 1
62, 0, 10, 7770922, 0, 496, 2
63, 2, 2, 9970957, 8, 4546, 2
64, 3, 18, 2692765, 1, 4124, 1
65, 0, 12, 9498994, 2, 1013, 1
66, 0, 6, 5470562, 6, 2789, 0
67, 1, 6, 9381825, 8, 1471, 0
68, 3, 1, 9768099, 4, 2404, 1
69, 3, 22, 3044463, 0, 846, 1
70, 3, 28, 2503421, 0, 3973, 2
71, 0, 7, 2239855, 5, 3216, 2
72, 3, 1, 4820802, 9, 3450, 0
73, 2, 16, 4553653, 0, 4037, 2
74, 0, 7, 2639335, 6, 2890, 2
75, 3, 17, 5295153, 5, 3661, 0
76, 3, 5, 2166309, 3, 165, 2
77, 0, 16, 5583452, 9, 184, 1
78, 3, 10, 1027598, 7, 3808, 1
79, 2, 29, 8855347, 9, 1017, 1
80, 2, 25, 1885248, 5, 20, 2
81, 3, 3, 511227, 7, 12, 2
82, 1, 27, 5875460, 5, 827, 1
83, 0, 16, 6939826, 6, 3669, 0
84, 3, 2, 9167913, 8, 4380, 2
85, 3, 23, 1904148, 8, 311, 1
86, 2, 18, 9148383, 4, 3783, 2
87, 2, 19, 8129266, 3, 2474, 2
88, 2, 16, 1858210, 8, 3623, 2
89, 0, 0, 7027358, 6, 1390, 0
90, 3, 24, 9552263, 0, 4877, 0
91, 0, 29, 8664078, 0, 4760, 1
92, 1, 19, 4696525, 1, 3578, 2
93, 3, 15, 369842, 2, 3104, 1
94, 2, 23, 3020697, 4, 763, 0
95, 1, 12, 5605197, 9, 1389, 0
96, 3, 11, 4942611, 9, 829, 2
97, 2, 22, 3795347, 1, 1274, 1
