gas1
iOrder, element, phi, age, color, planet, galaxy
0, 0, 19, 4272867, 4, 289, 0
1, 3, 8, 8596366, 0, 1038, 1
2, 1, 17, 6018461, 1, 732, 0
3, 3, 19, 9563881, 6, 2928, 2
4, 0, 28, 8168972, 8, 1952, 1
5, 2, 7, 9785970, 0, 4046, 2
6, 2, 1, 8597270, 1, 3141, 0
7, 1, 26, 6494681, 5, 3221, 2
8, 1, 10, 4250543, 0, 698, 0
9, 0, 19, 2480900, 0, 418, 2
10, 2, 14, 9378811, 2, 2896, 0
11, 0, 2, 2536298, 8, 4474, 1
12, 0, 20, 1017448, 3, 3467, 1
13, 0, 7, 8972341, 6, 232, 1
14, 3, 16, 7569987, 5, 1806, 2
15, 0, 0, 9584263, 9, 312, 2
16, 0, 4, 6871927, 2, 4558, 1
17, 3, 18, 3702733, 9, 2952, 1
18, 2, 20, 2083128, 2, 4276, 0
19, 3, 16, 2973297, 7, 1329, 1
20, 3, 17, 3415544, 4, 1636, 0
21, 0, 15, 9405200, 0, 3537, 0
22, 3, 24, 7782980, 5, 4219, 0
23, 3, 27, 6937278, 7, 803, 0
24, 0, 24, 6657538, 8, 3667, 0
25, 0, 28, 6398438, 3, 3185, 1
26, 2, 3, 9899434, 9, 2837, 0
27, 0, 16, 1131603, 3, 1066, 1
28, 2, 28, 3227750, 5, 2457, 1
29, 2, 24, 9759648, 4, 2579, 0
30, 3, 29, 2922843, 0, 4446, 2
31, 2, 15, 8375131, 1, 4943, 1
32, 3, 7, 9868983, 0, 4040, 0
33, 0, 12, 826617, 9, 3732, 2
34, 2, 4, 8199149, 9, 4786, 0
35, 3, 9, 8466114, 2, 799, 2
36, 3, 9, 1602778, 7, 2373, 0
37, 0, 17, 9646099, 7, 2749, 0
38, 3, 25, 3279928, 3, 2781, 1
39, 0, 4, 1061330, 4, 4297, 1
40, 3, 25, 7019208, 6, 818, 1
41, 2, 6, 3589101, 9, 31, 1
42, 1, 8, 5857871, 9, 2367, 2
43, 2, 16, 2179874, 5, 11, 0
44, 3, 16, 8135488, 1, 1536, 0
45, 0, 20, 4394775, 3, 1551, 2
46, 1, 26, 5831078, 1, 988, 1
47, 3, 17, 3902834, 0, 1554, 0
48, 0, 1, 7199764, 2, 4359, 1
49, 0, 8, 1383042, 0, 5, 2
50, 2, 17, 689976, 4, 467, 1
51, 0, 11, 5287349, 3, 4877, 0
52, 1, 8, 3685669, 7, 4837, 1
53, 1, 17, 2492184, 5, 2707, 1
54, 3, 18, 2008514, 9, 4341, 2
55, 0, 20, 4398306, 3, 812, 0
56, 1, 26, 1529784, 0, 983, 0
57, 3, 16, 7151070, 3, 4146, 0
58, 0, 18, 4346721, 7, 3332, 2
59, 1, 28, 6683199, 8, 4893, 2
60, 3, 20, 9408375, 7, 4825, 1
61, 0, 20, 5786761, 3, 179, 2
62, 2, 27, 2334573, 3, 2410, 1
63, 2, 27, 3675447, 5, 4832, 2
64, 1, 9, 5531341, 5, 3158, 1
65, 1, 16, 9996716, 2, 2812, 1
66, 0, 10, 7107528, 5, 3959, 1
67, 0, 20, 8208722, 5, 3926, 2
68, 0, 21, 3050492, 5, 1885, 2
69, 2, 11, 5080859, 8, 4491, 1
70, 2, 25, 9601966, 7, 1759, 1
71, 0, 9, 7959606, 7, 1962, 0
72, 1, 28, 2735901, 3, 75, 2
73, 1, 8, 2732272, 3, 3756, 1
74, 1, 20, 5494152, 3, 4972, 2
75, 1, 8, 8208177, 0, 4005, 1
76, 2, 0, 6068226, 5, 3289, 0
77, 0, 6, 6226286, 2, 33, 2
78, 3, 1, 4779270, 8, 11, 1
79, 2, 15, 7215855, 3, 1697, 2
80, 1, 13, 4326522, 4, 899, 1
81, 2, 9, 3426293, 3, 4171, 2
