0, 12935, 8, 27, 9, 741, 112, 900, 4, 0, 8, 120040
1, 72151, 26, 10, 39, 389, 691, 804, 0, 1, 24, 68104
2, 79869, 9, 35, 43, 705, 80, 108, 3, 0, 24, 122687
3, 55342, 19, 16, 36, 80, 339, 478, 4, 1, 18, 123122
4, 55809, 35, 4, 3, 291, 240, 79, 4, 1, 6, 168000
5, 62824, 20, 26, 12, 691, 59, 167, 3, 0, 28, 14519
6, 68878, 18, 10, 5, 147, 738, 51, 2, 0, 6, 124981
7, 21431, 17, 46, 2, 858, 134, 764, 0, 1, 28, 93160
8, 95924, 13, 2, 36, 850, 66, 113, 0, 0, 3, 96922
9, 51805, 36, 39, 26, 139, 290, 510, 4, 0, 19, 92313
10, 80465, 28, 29, 24, 354, 692, 0, 0, 1, 17, 107043
11, 56022, 15, 37, 40, 299, 817, 423, 2, 0, 2, 64180
12, 53459, 15, 42, 29, 102, 675, 18, 2, 1, 7, 183302
13, 2185, 35, 3, 45, 28, 239, 807, 3, 1, 28, 40408
14, 17989, 26, 14, 12, 325, 297, 545, 0, 0, 22, 4527
15, 8205, 16, 0, 16, 267, 615, 31, 1, 1, 25, 65063
16, 261, 15, 36, 23, 825, 568, 800, 1, 1, 2, 183269
17, 91247, 48, 31, 4, 638, 9, 377, 2, 0, 27, 174037
18, 75568, 10, 16, 14, 464, 103, 434, 0, 1, 29, 101400
19, 45101, 29, 35, 29, 968, 100, 998, 4, 1, 23, 117459
