0, 85151, 31, 39, 9, 241, 433, 493, 0, 0, 6, 143839
1, 94301, 40, 17, 14, 341, 528, 203, 1, 0, 9, 162591
2, 24298, 12, 27, 7, 775, 991, 994, 3, 0, 0, 133424
3, 48627, 27, 41, 26, 943, 278, 908, 4, 0, 10, 139903
4, 106, 1, 10, 21, 377, 203, 318, 4, 1, 6, 35286
5, 79160, 8, 22, 22, 224, 447, 364, 3, 0, 9, 51600
6, 34061, 41, 44, 43, 175, 390, 814, 3, 0, 11, 171273
7, 30730, 8, 16, 24, 442, 222, 365, 2, 1, 0, 144689
8, 45744, 16, 49, 8, 899, 803, 401, 3, 0, 1, 146587
9, 5123, 22, 35, 3, 957, 592, 574, 3, 0, 19, 194301
10, 8547, 49, 2, 38, 698, 542, 563, 4, 1, 21, 97645
11, 94057, 34, 38, 29, 255, 396, 493, 3, 1, 19, 62454
12, 13782, 9, 3, 6, 279, 862, 339, 1, 1, 16, 55160
13, 52073, 32, 39, 31, 774, 91, 767, 3, 1, 2, 81685
14, 91695, 40, 44, 5, 6, 212, 614, 0, 0, 14, 32823
15, 90723, 17, 3, 14, 466, 656, 448, 3, 1, 25, 112651
16, 73705, 25, 39, 23, 449, 849, 706, 4, 0, 16, 66793
17, 74922, 31, 36, 34, 254, 931, 30, 1, 1, 5, 83036
18, 74743, 22, 35, 31, 769, 348, 848, 4, 0, 27, 60888
19, 1975, 45, 35, 48, 723, 473, 8, 1, 0, 20, 108070
20, 83225, 34, 5, 34, 802, 607, 802, 0, 0, 15, 137356
21, 30811, 48, 31, 32, 630, 236, 250, 2, 0, 5, 169575
22, 88719, 35, 47, 40, 132, 365, 304, 0, 1, 23, 22124
23, 658, 46, 49, 37, 622, 165, 876, 1, 0, 1, 35343
24, 53990, 42, 17, 12, 912, 372, 470, 2, 0, 6, 103794
25, 71619, 0, 49, 28, 937, 394, 444, 2, 1, 17, 182033
26, 86154, 1, 16, 35, 673, 191, 744, 1, 0, 7, 44745
27, 81199, 8, 6, 10, 577, 640, 784, 2, 1, 5, 123729
28, 1874, 29, 43, 6, 798, 791, 829, 0, 0, 16, 76906
29, 91827, 33, 44, 21, 320, 756, 695, 3, 1, 8, 107400
30, 28414, 24, 46, 7, 322, 838, 981, 0, 0, 29, 67668
31, 20717, 0, 43, 7, 84, 195, 158, 3, 0, 23, 193448
32, 35364, 21, 26, 20, 336, 675, 183, 3, 0, 28, 44281
33, 30465, 6, 42, 8, 506, 91, 341, 3, 1, 20, 191559
