0, 41780, 28, 7, 5, 696, 698, 175, 1, 0, 3, 173697
1, 64032, 21, 15, 44, 319, 818, 688, 3, 1, 5, 113509
2, 15472, 32, 23, 25, 134, 580, 907, 4, 1, 0, 175518
3, 50862, 31, 34, 14, 354, 20, 125, 0, 1, 9, 20935
4, 21610, 19, 42, 41, 229, 626, 475, 4, 1, 16, 133245
5, 37099, 30, 49, 6, 613, 766, 992, 3, 1, 7, 51461
6, 42251, 13, 33, 48, 332, 701, 212, 3, 0, 2, 12148
7, 47107, 19, 46, 41, 941, 226, 440, 1, 0, 13, 178474
8, 55279, 49, 1, 34, 937, 463, 645, 3, 0, 4, 97794
9, 14131, 39, 6, 37, 805, 300, 700, 0, 0, 24, 45597
10, 91356, 33, 39, 11, 554, 41, 661, 0, 1, 20, 19232
11, 11828, 39, 20, 37, 785, 777, 402, 0, 0, 5, 114927
12, 43306, 36, 10, 13, 629, 957, 571, 1, 0, 0, 55165
13, 19345, 30, 41, 12, 50, 343, 675, 0, 1, 23, 889
14, 42858, 11, 32, 35, 475, 156, 754, 3, 0, 26, 128803
15, 45903, 30, 27, 41, 302, 24, 535, 0, 0, 3, 40362
16, 74210, 23, 47, 40, 125, 936, 901, 1, 0, 29, 49433
17, 33990, 28, 49, 11, 858, 697, 691, 0, 1, 27, 195474
18, 57213, 30, 8, 48, 716, 968, 686, 4, 0, 16, 25895
19, 3732, 15, 15, 33, 181, 811, 778, 3, 0, 19, 65949
20, 60355, 26, 35, 6, 573, 333, 18, 1, 1, 6, 59663
21, 81754, 16, 11, 38, 285, 830, 9, 3, 0, 16, 151956
22, 15011, 36, 31, 22, 345, 871, 679, 1, 0, 14, 91737
23, 73279, 30, 49, 18, 758, 428, 557, 0, 0, 13, 869
24, 97802, 23, 18, 31, 174, 625, 258, 1, 0, 18, 25438
25, 23229, 46, 11, 32, 420, 195, 565, 0, 1, 9, 40136
26, 64705, 45, 4, 42, 53, 57, 939, 0, 0, 19, 23761
27, 17388, 49, 4, 31, 806, 267, 96, 4, 0, 15, 125007
28, 79489, 24, 6, 31, 140, 217, 255, 2, 0, 12, 71675
29, 49472, 16, 42, 19, 464, 803, 715, 3, 0, 6, 76409
30, 94715, 3, 30, 35, 493, 794, 41, 1, 0, 12, 184152
